Date,Time,Category,Sub-Category,Price,Sales Volume
1/3/2021,12:08:00,Cookies,Oatmeal Raisin,$2.77 ,5
1/3/2021,11:47:00,Cookies,Sugar Cookie,$2.64 ,3
1/3/2021,16:34:00,Cookies,Black & White,$4.23 ,4
1/3/2021,12:47:00,Biscotti & Scones,Chocolate Chip Scone,$4.26 ,2
1/3/2021,14:57:00,Biscotti & Scones,Anisette Biscotti,$3.22 ,4
1/3/2021,14:23:00,Candy & Treats,Peppermint Chocolate,$4.99 ,3
1/3/2021,11:08:00,Candy & Treats,Local Honey,$6.90 ,2
1/3/2021,16:31:00,Candy & Treats,Popcorn,$3.32 ,3
1/4/2021,9:48:00,Bread,Sourdough,$6.41 ,2
1/4/2021,8:55:00,Bread,Baguette,$4.46 ,2
1/4/2021,9:09:00,Bread,Rye,$6.19 ,2
1/4/2021,18:10:00,Bread,Whole Wheat,$6.36 ,1
1/4/2021,18:27:00,Bread,White,$5.79 ,1
1/4/2021,17:04:00,Cakes,Carrot Cake,$4.51 ,3
1/4/2021,14:24:00,Cakes,Banana Nut Pound,$9.02 ,1
1/4/2021,17:29:00,Cakes,Chocolate Cup Cake,$2.98 ,1
1/4/2021,16:16:00,Pastries,Muffin,$9.05 ,10
1/4/2021,16:55:00,Pastries,Cannoli,$6.25 ,17
1/4/2021,8:43:00,Pastries,Danish,$4.22 ,7
1/4/2021,9:43:00,Pastries,Brownies,$4.24 ,7
1/4/2021,16:48:00,Pastries,Eclair,$4.46 ,47
1/4/2021,12:49:00,Pastries,French Roll,$4.60 ,2
1/4/2021,18:21:00,Pastries,Napolean,$4.79 ,6
1/4/2021,9:18:00,Cookies,Oatmeal Raisin,$2.77 ,6
1/4/2021,14:10:00,Cookies,Sugar Cookie,$2.64 ,3
1/4/2021,15:00:00,Cookies,Black & White,$4.23 ,5
1/4/2021,12:32:00,Biscotti & Scones,Chocolate Chip Scone,$4.26 ,2
1/4/2021,10:32:00,Biscotti & Scones,Anisette Biscotti,$3.56 ,4
1/4/2021,9:55:00,Candy & Treats,Peppermint Chocolate,$4.99 ,3
1/4/2021,18:19:00,Candy & Treats,Local Honey,$6.90 ,2
1/4/2021,18:32:00,Candy & Treats,Popcorn,$3.32 ,3
1/5/2021,17:12:00,Bread,Sourdough,$6.41 ,2
1/5/2021,10:23:00,Bread,Baguette,$4.46 ,2
1/5/2021,10:34:00,Bread,Rye,$6.19 ,2
1/5/2021,16:58:00,Bread,Whole Wheat,$6.36 ,1
1/5/2021,8:38:00,Bread,White,$5.79 ,1
1/5/2021,13:31:00,Cakes,Carrot Cake,$4.51 ,3
1/5/2021,8:07:00,Cakes,Banana Nut Pound,$9.02 ,1
1/5/2021,13:56:00,Cakes,Chocolate Cup Cake,$2.98 ,1
1/5/2021,12:15:00,Pastries,Muffin,$9.10 ,9
1/5/2021,8:15:00,Pastries,Cannoli,$6.25 ,18
1/5/2021,17:05:00,Pastries,Danish,$4.23 ,8
1/5/2021,9:46:00,Pastries,Brownies,$4.24 ,7
1/5/2021,15:52:00,Pastries,Eclair,$4.46 ,43
1/5/2021,9:48:00,Pastries,French Roll,$4.60 ,2
1/5/2021,16:49:00,Pastries,Napolean,$4.79 ,6
1/5/2021,10:08:00,Cookies,Oatmeal Raisin,$2.86 ,4
1/5/2021,18:30:00,Cookies,Sugar Cookie,$2.64 ,3
1/5/2021,16:10:00,Cookies,Black & White,$4.23 ,5
1/5/2021,12:33:00,Biscotti & Scones,Chocolate Chip Scone,$4.35 ,2
1/5/2021,17:27:00,Biscotti & Scones,Anisette Biscotti,$3.66 ,4
1/5/2021,11:59:00,Candy & Treats,Peppermint Chocolate,$4.99 ,3
1/5/2021,16:48:00,Candy & Treats,Local Honey,$6.90 ,2
1/5/2021,11:45:00,Candy & Treats,Popcorn,$3.32 ,3
1/6/2021,12:25:00,Bread,Sourdough,$6.41 ,2
1/6/2021,18:41:00,Bread,Baguette,$4.46 ,2
1/6/2021,13:28:00,Bread,Rye,$6.19 ,3
1/6/2021,16:28:00,Bread,Whole Wheat,$6.36 ,1
1/6/2021,9:15:00,Bread,White,$5.87 ,1
1/6/2021,11:04:00,Cakes,Carrot Cake,$4.51 ,3
1/6/2021,13:01:00,Cakes,Banana Nut Pound,$9.02 ,1
1/6/2021,17:35:00,Cakes,Chocolate Cup Cake,$2.98 ,1
1/6/2021,11:37:00,Pastries,Muffin,$9.10 ,8
1/6/2021,11:00:00,Pastries,Cannoli,$6.25 ,16
1/6/2021,9:45:00,Pastries,Danish,$4.23 ,8
1/6/2021,18:03:00,Pastries,Brownies,$4.24 ,7
1/6/2021,11:04:00,Pastries,Eclair,$4.46 ,50
1/6/2021,8:55:00,Pastries,French Roll,$4.60 ,2
1/6/2021,13:04:00,Pastries,Napolean,$4.82 ,6
1/6/2021,16:15:00,Cookies,Oatmeal Raisin,$2.86 ,4
1/6/2021,12:42:00,Cookies,Sugar Cookie,$2.64 ,3
1/6/2021,15:13:00,Cookies,Black & White,$4.23 ,5
1/6/2021,16:08:00,Biscotti & Scones,Chocolate Chip Scone,$4.35 ,2
1/6/2021,17:36:00,Biscotti & Scones,Anisette Biscotti,$3.72 ,4
1/6/2021,15:15:00,Candy & Treats,Peppermint Chocolate,$4.99 ,3
1/6/2021,15:51:00,Candy & Treats,Local Honey,$6.90 ,2
1/6/2021,14:12:00,Candy & Treats,Popcorn,$3.32 ,3
1/7/2021,9:06:00,Bread,Sourdough,$6.41 ,2
1/7/2021,18:27:00,Bread,Baguette,$4.47 ,2
1/7/2021,13:27:00,Bread,Rye,$6.19 ,2
1/7/2021,14:29:00,Bread,Whole Wheat,$6.36 ,1
1/7/2021,8:43:00,Bread,White,$5.87 ,1
1/7/2021,18:41:00,Cakes,Carrot Cake,$4.51 ,3
1/7/2021,9:03:00,Cakes,Banana Nut Pound,$9.02 ,1
1/7/2021,14:46:00,Cakes,Chocolate Cup Cake,$2.98 ,1
1/7/2021,13:51:00,Pastries,Muffin,$9.10 ,6
1/7/2021,9:15:00,Pastries,Cannoli,$6.25 ,15
1/7/2021,11:12:00,Pastries,Danish,$4.23 ,8
1/7/2021,16:28:00,Pastries,Brownies,$4.24 ,6
1/7/2021,10:27:00,Pastries,Eclair,$4.46 ,54
1/7/2021,10:17:00,Pastries,French Roll,$4.60 ,2
1/7/2021,15:15:00,Pastries,Napolean,$5.01 ,6
1/7/2021,9:28:00,Cookies,Oatmeal Raisin,$2.86 ,5
1/7/2021,16:06:00,Cookies,Sugar Cookie,$2.64 ,3
1/7/2021,8:41:00,Cookies,Black & White,$4.24 ,5
1/7/2021,16:53:00,Biscotti & Scones,Chocolate Chip Scone,$4.35 ,2
1/7/2021,8:05:00,Biscotti & Scones,Anisette Biscotti,$3.72 ,4
1/7/2021,11:10:00,Candy & Treats,Peppermint Chocolate,$4.99 ,3
1/7/2021,14:31:00,Candy & Treats,Local Honey,$6.96 ,2
1/7/2021,15:13:00,Candy & Treats,Popcorn,$3.41 ,3
1/8/2021,14:57:00,Bread,Sourdough,$6.41 ,2
1/8/2021,8:10:00,Bread,Baguette,$4.47 ,2
1/8/2021,14:00:00,Bread,Rye,$6.19 ,2
1/8/2021,14:16:00,Bread,Whole Wheat,$6.36 ,1
1/8/2021,15:18:00,Bread,White,$5.87 ,1
1/8/2021,14:44:00,Cakes,Carrot Cake,$4.60 ,3
1/8/2021,16:42:00,Cakes,Banana Nut Pound,$9.02 ,1
1/8/2021,15:09:00,Cakes,Chocolate Cup Cake,$2.98 ,1
1/8/2021,11:18:00,Pastries,Muffin,$9.10 ,10
1/8/2021,11:03:00,Pastries,Cannoli,$6.29 ,18
1/8/2021,17:47:00,Pastries,Danish,$4.23 ,7
1/8/2021,16:03:00,Pastries,Brownies,$4.24 ,8
1/8/2021,13:03:00,Pastries,Eclair,$4.46 ,51
1/8/2021,8:37:00,Pastries,French Roll,$4.60 ,2
1/8/2021,15:32:00,Pastries,Napolean,$5.01 ,6
1/8/2021,16:10:00,Cookies,Oatmeal Raisin,$2.86 ,5
1/8/2021,8:32:00,Cookies,Sugar Cookie,$2.64 ,3
1/8/2021,9:54:00,Cookies,Black & White,$4.24 ,5
1/8/2021,10:04:00,Biscotti & Scones,Chocolate Chip Scone,$4.35 ,2
1/8/2021,17:04:00,Biscotti & Scones,Anisette Biscotti,$3.72 ,5
1/8/2021,18:55:00,Candy & Treats,Peppermint Chocolate,$4.99 ,3
1/8/2021,11:25:00,Candy & Treats,Local Honey,$6.96 ,2
1/8/2021,9:56:00,Candy & Treats,Popcorn,$3.41 ,3
1/9/2021,17:15:00,Bread,Sourdough,$6.41 ,2
1/9/2021,17:38:00,Bread,Baguette,$4.47 ,2
1/9/2021,8:39:00,Bread,Rye,$6.19 ,2
1/9/2021,9:26:00,Bread,Whole Wheat,$6.36 ,1
1/9/2021,18:37:00,Bread,White,$5.87 ,1
1/9/2021,17:33:00,Cakes,Carrot Cake,$4.60 ,3
1/9/2021,13:59:00,Cakes,Banana Nut Pound,$9.02 ,1
1/9/2021,12:13:00,Cakes,Chocolate Cup Cake,$2.98 ,1
1/9/2021,18:45:00,Pastries,Muffin,$9.13 ,8
1/9/2021,13:15:00,Pastries,Cannoli,$6.32 ,15
1/9/2021,12:25:00,Pastries,Danish,$4.24 ,7
1/9/2021,10:42:00,Pastries,Brownies,$4.24 ,7
1/9/2021,18:19:00,Pastries,Eclair,$4.46 ,52
1/9/2021,15:20:00,Pastries,French Roll,$4.60 ,2
1/9/2021,9:00:00,Pastries,Napolean,$5.01 ,6
1/9/2021,15:39:00,Cookies,Oatmeal Raisin,$2.86 ,5
1/9/2021,17:06:00,Cookies,Sugar Cookie,$2.64 ,3
1/9/2021,9:34:00,Cookies,Black & White,$4.24 ,5
1/9/2021,11:32:00,Biscotti & Scones,Chocolate Chip Scone,$4.35 ,2
1/9/2021,12:08:00,Biscotti & Scones,Anisette Biscotti,$3.72 ,4
1/9/2021,13:56:00,Candy & Treats,Peppermint Chocolate,$4.99 ,3
1/9/2021,9:56:00,Candy & Treats,Local Honey,$6.96 ,2
1/9/2021,11:23:00,Candy & Treats,Popcorn,$3.41 ,3
1/10/2021,12:10:00,Bread,Sourdough,$6.41 ,2
1/10/2021,15:53:00,Bread,Baguette,$4.47 ,2
1/10/2021,16:45:00,Bread,Rye,$6.19 ,2
1/10/2021,12:39:00,Bread,Whole Wheat,$6.38 ,1
1/10/2021,16:00:00,Bread,White,$5.87 ,1
1/10/2021,16:19:00,Cakes,Carrot Cake,$4.60 ,3
1/10/2021,9:56:00,Cakes,Banana Nut Pound,$9.02 ,1
1/10/2021,10:16:00,Cakes,Chocolate Cup Cake,$2.98 ,1
1/10/2021,9:56:00,Pastries,Muffin,$9.13 ,11
1/10/2021,9:47:00,Pastries,Cannoli,$6.32 ,16
1/10/2021,16:09:00,Pastries,Danish,$4.24 ,8
1/10/2021,12:18:00,Pastries,Brownies,$4.24 ,7
1/10/2021,11:45:00,Pastries,Eclair,$4.48 ,57
1/10/2021,13:13:00,Pastries,French Roll,$4.60 ,2
1/10/2021,12:32:00,Pastries,Napolean,$5.09 ,6
1/10/2021,15:16:00,Cookies,Oatmeal Raisin,$2.86 ,4
1/10/2021,8:05:00,Cookies,Sugar Cookie,$2.64 ,4
1/10/2021,14:53:00,Cookies,Black & White,$4.24 ,5
1/10/2021,12:02:00,Biscotti & Scones,Chocolate Chip Scone,$4.35 ,2
1/10/2021,8:21:00,Biscotti & Scones,Anisette Biscotti,$3.72 ,4
1/10/2021,10:40:00,Candy & Treats,Peppermint Chocolate,$4.99 ,3
1/10/2021,12:10:00,Candy & Treats,Local Honey,$6.96 ,2
1/10/2021,15:35:00,Candy & Treats,Popcorn,$3.41 ,3
1/11/2021,14:35:00,Bread,Sourdough,$6.41 ,2
1/11/2021,8:07:00,Bread,Baguette,$4.47 ,2
1/11/2021,9:56:00,Bread,Rye,$6.19 ,2
1/11/2021,10:34:00,Bread,Whole Wheat,$6.38 ,1
1/11/2021,8:53:00,Bread,White,$5.87 ,1
1/11/2021,13:37:00,Cakes,Carrot Cake,$4.60 ,3
1/11/2021,16:09:00,Cakes,Banana Nut Pound,$9.02 ,1
1/11/2021,14:08:00,Cakes,Chocolate Cup Cake,$2.98 ,1
1/11/2021,8:19:00,Pastries,Muffin,$9.13 ,10
1/11/2021,13:57:00,Pastries,Cannoli,$6.32 ,20
1/11/2021,8:57:00,Pastries,Danish,$4.24 ,8
1/11/2021,13:13:00,Pastries,Brownies,$4.24 ,6
1/11/2021,18:15:00,Pastries,Eclair,$4.48 ,48
1/11/2021,18:06:00,Pastries,French Roll,$4.60 ,2
1/11/2021,13:49:00,Pastries,Napolean,$5.09 ,7
1/11/2021,16:56:00,Cookies,Oatmeal Raisin,$2.86 ,4
1/11/2021,14:39:00,Cookies,Sugar Cookie,$2.64 ,3
1/11/2021,10:59:00,Cookies,Black & White,$4.24 ,5
1/11/2021,11:55:00,Biscotti & Scones,Chocolate Chip Scone,$4.35 ,2
1/11/2021,10:51:00,Biscotti & Scones,Anisette Biscotti,$3.72 ,4
1/11/2021,10:56:00,Candy & Treats,Peppermint Chocolate,$4.99 ,3
1/11/2021,14:01:00,Candy & Treats,Local Honey,$6.96 ,2
1/11/2021,10:47:00,Candy & Treats,Popcorn,$3.41 ,3
1/12/2021,13:50:00,Bread,Sourdough,$6.41 ,2
1/12/2021,14:51:00,Bread,Baguette,$4.47 ,2
1/12/2021,18:55:00,Bread,Rye,$6.19 ,2
1/12/2021,11:17:00,Bread,Whole Wheat,$6.38 ,1
1/12/2021,10:50:00,Bread,White,$5.87 ,1
1/12/2021,9:24:00,Cakes,Carrot Cake,$4.60 ,4
1/12/2021,8:54:00,Cakes,Banana Nut Pound,$9.02 ,1
1/12/2021,15:14:00,Cakes,Chocolate Cup Cake,$2.98 ,1
1/12/2021,11:52:00,Pastries,Muffin,$9.13 ,10
1/12/2021,15:22:00,Pastries,Cannoli,$6.39 ,17
1/12/2021,12:52:00,Pastries,Danish,$4.24 ,7
1/12/2021,11:14:00,Pastries,Brownies,$4.24 ,7
1/12/2021,8:42:00,Pastries,Eclair,$4.48 ,47
1/12/2021,11:25:00,Pastries,French Roll,$4.60 ,2
1/12/2021,13:17:00,Pastries,Napolean,$5.09 ,7
1/12/2021,9:49:00,Cookies,Oatmeal Raisin,$2.86 ,5
1/12/2021,12:22:00,Cookies,Sugar Cookie,$2.64 ,3
1/12/2021,18:32:00,Cookies,Black & White,$4.24 ,5
1/12/2021,14:43:00,Biscotti & Scones,Chocolate Chip Scone,$4.35 ,2
1/12/2021,16:21:00,Biscotti & Scones,Anisette Biscotti,$3.72 ,4
1/12/2021,8:07:00,Candy & Treats,Peppermint Chocolate,$4.99 ,3
1/12/2021,12:11:00,Candy & Treats,Local Honey,$6.96 ,2
1/12/2021,17:16:00,Candy & Treats,Popcorn,$3.41 ,3
1/13/2021,8:06:00,Bread,Sourdough,$6.41 ,2
1/13/2021,17:27:00,Bread,Baguette,$4.47 ,2
1/13/2021,13:46:00,Bread,Rye,$6.19 ,2
1/13/2021,13:27:00,Bread,Whole Wheat,$6.38 ,1
1/13/2021,17:32:00,Bread,White,$5.87 ,1
1/13/2021,9:24:00,Cakes,Carrot Cake,$4.60 ,3
1/13/2021,17:12:00,Cakes,Banana Nut Pound,$9.02 ,1
1/13/2021,12:02:00,Cakes,Chocolate Cup Cake,$2.98 ,1
1/13/2021,14:00:00,Pastries,Muffin,$9.13 ,8
1/13/2021,16:59:00,Pastries,Cannoli,$6.39 ,19
1/13/2021,16:43:00,Pastries,Danish,$4.24 ,7
1/13/2021,18:12:00,Pastries,Brownies,$4.24 ,7
1/13/2021,13:27:00,Pastries,Eclair,$4.48 ,50
1/13/2021,9:42:00,Pastries,French Roll,$4.60 ,2
1/13/2021,13:39:00,Pastries,Napolean,$5.09 ,6
1/13/2021,13:42:00,Cookies,Oatmeal Raisin,$2.88 ,5
1/13/2021,9:46:00,Cookies,Sugar Cookie,$2.64 ,3
1/13/2021,12:32:00,Cookies,Black & White,$4.24 ,6
1/13/2021,12:42:00,Biscotti & Scones,Chocolate Chip Scone,$4.35 ,2
1/13/2021,14:20:00,Biscotti & Scones,Anisette Biscotti,$3.72 ,4
1/13/2021,14:44:00,Candy & Treats,Peppermint Chocolate,$4.99 ,3
1/13/2021,12:35:00,Candy & Treats,Local Honey,$6.96 ,2
1/13/2021,10:12:00,Candy & Treats,Popcorn,$3.41 ,3
1/14/2021,14:42:00,Bread,Sourdough,$6.41 ,2
1/14/2021,14:43:00,Bread,Baguette,$4.47 ,2
1/14/2021,10:39:00,Bread,Rye,$6.19 ,2
1/14/2021,17:19:00,Bread,Whole Wheat,$6.38 ,1
1/14/2021,14:35:00,Bread,White,$5.87 ,1
1/14/2021,8:19:00,Cakes,Carrot Cake,$4.60 ,4
1/14/2021,12:13:00,Cakes,Banana Nut Pound,$9.02 ,1
1/14/2021,14:50:00,Cakes,Chocolate Cup Cake,$2.98 ,1
1/14/2021,17:38:00,Pastries,Muffin,$9.13 ,11
1/14/2021,18:20:00,Pastries,Cannoli,$6.39 ,19
1/14/2021,15:28:00,Pastries,Danish,$4.24 ,7
1/14/2021,15:43:00,Pastries,Brownies,$4.24 ,8
1/14/2021,11:32:00,Pastries,Eclair,$4.48 ,48
1/14/2021,15:50:00,Pastries,French Roll,$4.60 ,2
1/14/2021,10:42:00,Pastries,Napolean,$5.09 ,6
1/14/2021,9:18:00,Cookies,Oatmeal Raisin,$2.88 ,5
1/14/2021,16:42:00,Cookies,Sugar Cookie,$2.64 ,3
1/14/2021,18:39:00,Cookies,Black & White,$4.24 ,6
1/14/2021,13:05:00,Biscotti & Scones,Chocolate Chip Scone,$4.35 ,2
1/14/2021,11:43:00,Biscotti & Scones,Anisette Biscotti,$3.72 ,5
1/14/2021,12:14:00,Candy & Treats,Peppermint Chocolate,$4.99 ,3
1/14/2021,11:09:00,Candy & Treats,Local Honey,$6.96 ,2
1/14/2021,8:02:00,Candy & Treats,Popcorn,$3.41 ,3
1/15/2021,11:30:00,Bread,Sourdough,$6.41 ,2
1/15/2021,17:54:00,Bread,Baguette,$4.47 ,2
1/15/2021,9:29:00,Bread,Rye,$6.19 ,2
1/15/2021,14:56:00,Bread,Whole Wheat,$6.38 ,1
1/15/2021,18:36:00,Bread,White,$5.87 ,1
1/15/2021,11:45:00,Cakes,Carrot Cake,$4.60 ,4
1/15/2021,14:31:00,Cakes,Banana Nut Pound,$9.02 ,1
1/15/2021,14:15:00,Cakes,Chocolate Cup Cake,$2.98 ,1
1/15/2021,10:41:00,Pastries,Muffin,$9.13 ,9
1/15/2021,8:57:00,Pastries,Cannoli,$6.39 ,17
1/15/2021,9:49:00,Pastries,Danish,$4.24 ,8
1/15/2021,14:14:00,Pastries,Brownies,$4.24 ,7
1/15/2021,10:51:00,Pastries,Eclair,$4.48 ,55
1/15/2021,16:29:00,Pastries,French Roll,$4.60 ,2
1/15/2021,8:35:00,Pastries,Napolean,$5.09 ,6
1/15/2021,11:58:00,Cookies,Oatmeal Raisin,$2.88 ,5
1/15/2021,9:29:00,Cookies,Sugar Cookie,$2.64 ,3
1/15/2021,10:51:00,Cookies,Black & White,$4.24 ,5
1/15/2021,15:42:00,Biscotti & Scones,Chocolate Chip Scone,$4.35 ,2
1/15/2021,16:35:00,Biscotti & Scones,Anisette Biscotti,$3.72 ,5
1/15/2021,17:20:00,Candy & Treats,Peppermint Chocolate,$4.99 ,3
1/15/2021,15:39:00,Candy & Treats,Local Honey,$6.96 ,2
1/15/2021,16:27:00,Candy & Treats,Popcorn,$3.45 ,3
1/16/2021,16:28:00,Bread,Sourdough,$6.41 ,2
1/16/2021,10:47:00,Bread,Baguette,$4.47 ,2
1/16/2021,15:28:00,Bread,Rye,$6.19 ,2
1/16/2021,12:48:00,Bread,Whole Wheat,$6.40 ,1
1/16/2021,11:53:00,Bread,White,$5.87 ,1
1/16/2021,18:17:00,Cakes,Carrot Cake,$4.60 ,4
1/16/2021,16:31:00,Cakes,Banana Nut Pound,$9.07 ,1
1/16/2021,18:15:00,Cakes,Chocolate Cup Cake,$2.98 ,1
1/16/2021,12:28:00,Pastries,Muffin,$9.13 ,10
1/16/2021,9:45:00,Pastries,Cannoli,$6.39 ,18
1/16/2021,12:15:00,Pastries,Danish,$4.24 ,8
1/16/2021,12:21:00,Pastries,Brownies,$4.24 ,8
1/16/2021,13:57:00,Pastries,Eclair,$4.48 ,49
1/16/2021,16:05:00,Pastries,French Roll,$4.60 ,2
1/16/2021,10:09:00,Pastries,Napolean,$5.09 ,6
1/16/2021,11:24:00,Cookies,Oatmeal Raisin,$2.88 ,5
1/16/2021,10:45:00,Cookies,Sugar Cookie,$2.64 ,3
1/16/2021,11:04:00,Cookies,Black & White,$4.24 ,5
1/16/2021,14:26:00,Biscotti & Scones,Chocolate Chip Scone,$4.35 ,2
1/16/2021,13:34:00,Biscotti & Scones,Anisette Biscotti,$3.72 ,3
1/16/2021,15:26:00,Candy & Treats,Peppermint Chocolate,$4.99 ,3
1/16/2021,8:13:00,Candy & Treats,Local Honey,$6.96 ,2
1/16/2021,14:24:00,Candy & Treats,Popcorn,$3.45 ,3
1/17/2021,8:54:00,Bread,Sourdough,$6.41 ,2
1/17/2021,14:30:00,Bread,Baguette,$4.47 ,2
1/17/2021,8:22:00,Bread,Rye,$6.25 ,3
1/17/2021,12:48:00,Bread,Whole Wheat,$6.40 ,1
1/17/2021,14:54:00,Bread,White,$5.87 ,1
1/17/2021,14:34:00,Cakes,Carrot Cake,$4.60 ,3
1/17/2021,16:51:00,Cakes,Banana Nut Pound,$9.07 ,1
1/17/2021,11:31:00,Cakes,Chocolate Cup Cake,$2.98 ,1
1/17/2021,11:17:00,Pastries,Muffin,$9.13 ,10
1/17/2021,14:31:00,Pastries,Cannoli,$6.39 ,21
1/17/2021,8:24:00,Pastries,Danish,$4.24 ,8
1/17/2021,13:42:00,Pastries,Brownies,$4.24 ,6
1/17/2021,14:46:00,Pastries,Eclair,$4.48 ,45
1/17/2021,10:53:00,Pastries,French Roll,$4.60 ,2
1/17/2021,15:58:00,Pastries,Napolean,$5.09 ,7
1/17/2021,10:39:00,Cookies,Oatmeal Raisin,$2.88 ,6
1/17/2021,16:01:00,Cookies,Sugar Cookie,$2.64 ,3
1/17/2021,14:37:00,Cookies,Black & White,$4.24 ,5
1/17/2021,8:05:00,Biscotti & Scones,Chocolate Chip Scone,$4.35 ,2
1/17/2021,14:08:00,Biscotti & Scones,Anisette Biscotti,$3.72 ,4
1/17/2021,15:11:00,Candy & Treats,Peppermint Chocolate,$4.99 ,3
1/17/2021,8:16:00,Candy & Treats,Local Honey,$6.96 ,2
1/17/2021,14:20:00,Candy & Treats,Popcorn,$3.45 ,3
1/18/2021,11:29:00,Bread,Sourdough,$6.41 ,2
1/18/2021,13:21:00,Bread,Baguette,$4.47 ,2
1/18/2021,14:17:00,Bread,Rye,$6.25 ,2
1/18/2021,14:16:00,Bread,Whole Wheat,$6.40 ,1
1/18/2021,9:30:00,Bread,White,$5.87 ,1
1/18/2021,8:47:00,Cakes,Carrot Cake,$4.67 ,3
1/18/2021,16:03:00,Cakes,Banana Nut Pound,$9.07 ,1
1/18/2021,13:14:00,Cakes,Chocolate Cup Cake,$2.98 ,1
1/18/2021,18:04:00,Pastries,Muffin,$9.13 ,11
1/18/2021,18:02:00,Pastries,Cannoli,$6.39 ,15
1/18/2021,8:15:00,Pastries,Danish,$4.24 ,9
1/18/2021,11:53:00,Pastries,Brownies,$4.24 ,7
1/18/2021,8:39:00,Pastries,Eclair,$4.48 ,54
